base_correct,cases,correct,delta_reader_tokens_vs_official_mem0_pct,delta_reader_visible_context_vs_official_mem0_pct,losses_vs_official_mem0,policy_name,reader_total_tokens,reader_visible_retrieved_context_tokens,tokens_per_correct,wins_vs_official_mem0
62,311,57,37.15343300914501,53.38771677572699,9,random_seed_0,95249,15885,1671.0350877192982,4
62,311,60,37.24910595283654,53.62539980633234,5,random_seed_1,95104,15804,1585.0666666666666,3
62,311,58,37.24052837857454,53.604859297514594,7,random_seed_2,95117,15811,1639.948275862069,3
62,311,57,37.31574710671822,53.87775462895038,8,random_seed_3,95003,15718,1666.719298245614,3
62,311,58,37.330263001623145,53.59312186390446,7,random_seed_4,94981,15815,1637.603448275862,3
62,311,58,37.32102561395637,53.72516799201854,6,random_seed_5,94995,15770,1637.844827586207,2
62,311,54,37.347418150147135,53.78385516006925,10,random_seed_6,94955,15750,1758.4259259259259,2
62,311,53,37.006294619881494,53.00918454179994,11,random_seed_7,95472,16014,1801.3584905660377,2
62,311,55,37.33818076248037,54.012735115467,9,random_seed_8,94969,15672,1726.709090909091,2
62,311,58,37.38436770081421,54.07142228351771,9,random_seed_9,94899,15652,1636.1896551724137,5
62,311,55,37.233930244526846,53.51976290384107,9,random_seed_10,95127,15840,1729.581818181818,2
62,311,59,37.36061441824252,54.03034126588222,7,random_seed_11,94935,15666,1609.0677966101696,4
62,311,54,37.23590968474115,53.73103670882362,10,random_seed_12,95124,15768,1761.5555555555557,2
62,311,56,37.28935457052746,53.772117726459115,8,random_seed_13,95043,15754,1697.1964285714287,2
62,311,60,37.25306483326516,53.51682854543854,6,random_seed_14,95098,15841,1584.9666666666667,4
62,311,54,37.09998812335871,53.32022653246867,11,random_seed_15,95330,15908,1765.3703703703704,3
62,311,57,37.26296203433669,53.66061210716276,7,random_seed_16,95083,15792,1668.122807017544,2
62,311,57,37.18774330619301,53.411191642947266,7,random_seed_17,95197,15877,1670.122807017544,2
62,311,58,37.17784610512147,53.38184805892192,8,random_seed_18,95212,15887,1641.5862068965516,4
62,311,57,37.30716953245622,53.74277414243376,8,random_seed_19,95016,15764,1666.9473684210527,3
62,311,55,37.25042557964608,53.51976290384107,10,random_seed_20,95102,15840,1729.1272727272728,3
62,311,57,37.26824054157484,53.58431878869685,9,random_seed_21,95075,15818,1667.982456140351,4
